Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Geolocation,Counties
2020,NE,Nebraska,Dundy,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,61.3,,,57.0,65.6,1635,31057,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-101.6811327 40.180165),454
2021,NE,Nebraska,Otoe,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,3.3,,,2.9,3.6,15930,31131,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,POINT (-96.1310274 40.6379916),2306
2021,NE,Nebraska,Frontier,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,6.8,,,5.6,8.2,2555,31063,HLTHOUT,COPD,CrdPrv,COPD,POINT (-100.4066834 40.5309469),455
2020,NE,Nebraska,Nemaha,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,60.9,,,56.7,65.1,7064,31127,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-95.8527214 40.3873891),2305
2021,NE,Nebraska,Pierce,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,27.3,,,23.6,31.2,7313,31139,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-97.6109917 42.2714129),470
2021,NE,Nebraska,Loup,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,40.5,,,35.8,45.3,604,31115,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-99.5098521 41.9031834),464
2021,NE,Nebraska,Polk,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,37.6,,,30.3,45.2,5174,31143,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-97.5706627 41.1879253),2310
2020,NE,Nebraska,Red Willow,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,28.5,,,26.9,29.9,10623,31145,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours,POINT (-100.4685764 40.1694196),2311
2021,NE,Nebraska,Morrill,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,29,,,25.4,32.7,4574,31123,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-102.9905936 41.7322039),467
2021,NE,Nebraska,Washington,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,5.2,,,4.3,6.1,20969,31177,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-96.2245771 41.5339726),2355
2021,NE,Nebraska,York,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,22.3,,,18.8,26.0,14244,31185,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-97.5967418 40.8730557),479
2021,NE,Nebraska,Dundy,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,38.5,,,33.8,43.3,1635,31057,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-101.6811327 40.180165),454
2021,NE,Nebraska,Washington,BRFSS,Health Outcomes,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,%,Age-adjusted prevalence,30.9,,,27.0,34.9,20969,31177,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol,POINT (-96.2245771 41.5339726),2355
2021,NE,Nebraska,Boyd,BRFSS,Prevention,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,%,Crude prevalence,85.2,,,82.3,87.6,1789,31015,PREVENT,BPMED,CrdPrv,Taking BP Medication,POINT (-98.7730221 42.8944477),2193
2021,NE,Nebraska,Knox,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,5.4,,,4.7,6.1,8401,31107,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-97.8913492 42.6344045),2302
2021,NE,Nebraska,Furnas,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,28.9,,,25.3,32.9,4604,31065,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-99.9096631 40.191865),2252
2021,NE,Nebraska,Webster,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,17,,,13.5,20.9,3411,31181,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-98.4985897 40.1806461),2356
2021,NE,Nebraska,Harlan,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,13.8,,,11.3,16.7,3091,31083,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-99.4034177 40.1787663),2258
2021,NE,Nebraska,Saunders,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,73.7,,,69.6,77.5,22787,31155,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-96.6420968 41.2233882),2348
2021,NE,Nebraska,Furnas,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,10.9,,,9.0,12.8,4604,31065,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-99.9096631 40.191865),2252
2021,NE,Nebraska,Keya Paha,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,12.9,,,10.8,15.4,787,31103,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-99.7183514 42.8754803),2300
2021,NE,Nebraska,Nemaha,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,78,,,74.7,81.4,7064,31127,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening,POINT (-95.8527214 40.3873891),2305
2021,NE,Nebraska,Hamilton,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,4.9,,,4.1,5.8,9386,31081,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-98.0223294 40.8728173),2257
2021,NE,Nebraska,York,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,5.7,,,4.8,6.7,14244,31185,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,POINT (-97.5967418 40.8730557),479
2021,NE,Nebraska,Gosper,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,37.4,,,32.9,42.1,1824,31073,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-99.8232058 40.5090947),457
2021,NE,Nebraska,Platte,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.1,,,5.5,6.7,34241,31141,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),POINT (-97.5134673 41.5768655),2309
2020,NE,Nebraska,Sarpy,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,58,,,51.0,64.8,193418,31153,PREVENT,COREM,CrdPrv,Core preventive services for older men,POINT (-96.1091254 41.1150635),2347
2020,NE,Nebraska,Hooker,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,28.7,,,26.8,30.5,734,31091,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-101.117324 41.920317),459
2020,NE,Nebraska,Sioux,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,41.3,,,31.8,50.3,1143,31165,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men,POINT (-103.7321705 42.4706681),2351
2021,NE,Nebraska,Fillmore,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,3.3,,,2.9,3.7,5546,31059,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease,POINT (-97.5967053 40.5250399),2250
2020,NE,Nebraska,Fillmore,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,8.3,,,5.3,12.3,5546,31059,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-97.5967053 40.5250399),2250
2021,NE,Nebraska,Franklin,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,19.6,,,15.7,23.8,2903,31061,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-98.96208 40.1832031),2251
2021,NE,Nebraska,Wayne,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,23.3,,,19.8,27.1,9784,31179,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-97.1262433 42.210746),477
2021,NE,Nebraska,Chase,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,4.2,,,3.6,5.0,3826,31029,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-101.6941918 40.5303903),449
2021,NE,Nebraska,Dawes,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Age-adjusted prevalence,10.4,,,8.6,12.2,8148,31045,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability,POINT (-103.1354358 42.7130379),2245
2021,NE,Nebraska,Dawson,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,11.3,,,9.6,13.1,23898,31047,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-99.8155833 40.86784),453
2021,NE,Nebraska,Dawes,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,14.7,,,11.4,18.3,8148,31045,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-103.1354358 42.7130379),2245
2021,NE,Nebraska,Wayne,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,29.5,,,26.1,33.1,9784,31179,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-97.1262433 42.210746),477
2021,NE,Nebraska,Cherry,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,8.8,,,6.9,11.2,5458,31031,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance,POINT (-101.0476532 42.571323),2241
2021,NE,Nebraska,Custer,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,3.9,,,3.2,4.6,10460,31041,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-99.7268662 41.3938927),2243
2021,NE,Nebraska,Hall,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Age-adjusted prevalence,5.7,,,4.6,6.7,61979,31079,HLTHOUT,COPD,AgeAdjPrv,COPD,POINT (-98.5026645 40.8660265),3156
2020,NE,Nebraska,Box Butte,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,59.7,,,55.0,64.2,10604,31013,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography,POINT (-103.0817795 42.2103804),2192
2021,NE,Nebraska,Sheridan,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,12.1,,,10.4,14.0,5095,31161,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-102.3682795 42.5122888),2350
2021,NE,Nebraska,Grant,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,11.9,,,10.0,13.8,579,31075,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-101.7559645 41.9139574),2255
2021,NE,Nebraska,Thurston,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Crude prevalence,9.4,,,8.2,10.9,6620,31173,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability,POINT (-96.5339428 42.1540613),2353
2021,NE,Nebraska,McPherson,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,29.9,,,25.6,35.0,379,31117,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-101.1208507 41.6484137),465
2021,NE,Nebraska,Howard,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,5,,,4.4,5.8,6531,31093,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-98.5133417 41.2168513),460
2020,NE,Nebraska,Phelps,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Age-adjusted prevalence,67.1,,,63.0,70.9,8937,31137,PREVENT,DENTAL,AgeAdjPrv,Dental Visit,POINT (-99.4065568 40.5163647),2308
2020,NE,Nebraska,Nance,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Crude prevalence,35.7,,,28.4,43.7,3390,31125,PREVENT,COREW,CrdPrv,Core preventive services for older women,POINT (-97.9914083 41.4023855),2304
2021,NE,Nebraska,York,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,4.8,,,4.2,5.5,14244,31185,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease,POINT (-97.5967418 40.8730557),479
2021,NE,Nebraska,Dakota,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,4.1,,,3.6,4.7,21241,31043,DISABLT,SELFCARE,CrdPrv,Self-care Disability,POINT (-96.561327 42.3916244),2244
2021,NE,Nebraska,Sioux,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,16.5,,,13.8,19.5,1143,31165,DISABLT,MOBILITY,CrdPrv,Mobility Disability,POINT (-103.7321705 42.4706681),2351
2021,NE,Nebraska,Grant,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,39.1,,,34.5,43.8,579,31075,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-101.7559645 41.9139574),2255
2021,NE,Nebraska,Dawson,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,5.3,,,4.6,6.1,23898,31047,DISABLT,VISION,AgeAdjPrv,Vision Disability,POINT (-99.8155833 40.86784),453
2021,NE,Nebraska,Nuckolls,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,11.9,,,10.1,13.9,4060,31129,HLTHOUT,DIABETES,CrdPrv,Diabetes,POINT (-98.0468422 40.1764918),468
2021,NE,Nebraska,Banner,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,11.6,,,9.4,13.9,692,31007,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-103.7262626 41.5397495),2190
2021,NE,Nebraska,Stanton,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,35,,,30.7,39.4,5816,31167,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-97.1771094 41.9050454),475
2020,NE,Nebraska,Gage,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,78.4,,,75.1,81.5,21616,31067,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-96.6834528 40.2552337),2253
2020,NE,Nebraska,Lancaster,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,28.3,,,27.0,29.6,324514,31109,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours,POINT (-96.6886584 40.7835474),462
2021,NE,Nebraska,Merrick,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,16.3,,,13.1,19.9,7665,31121,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-98.0310573 41.1697896),466
2021,NE,Nebraska,Hall,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,11.1,,,9.3,13.0,61979,31079,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-98.5026645 40.8660265),3156
2020,NE,Nebraska,Banner,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,72.9,,,69.9,75.7,692,31007,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening,POINT (-103.7262626 41.5397495),2190
2021,NE,Nebraska,Saunders,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Crude prevalence,14.3,,,11.0,17.9,22787,31155,RISKBEH,CSMOKING,CrdPrv,Current Smoking,POINT (-96.6420968 41.2233882),2348
2020,NE,Nebraska,Kearney,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,67,,,63.6,70.4,6674,31099,PREVENT,DENTAL,CrdPrv,Dental Visit,POINT (-98.9476019 40.5091198),2298
2021,NE,Nebraska,Boone,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,12,,,10.3,13.8,5386,31011,HLTHSTAT,MHLTH,CrdPrv,Mental Health,POINT (-98.0704764 41.7039345),2191
2021,NE,Nebraska,Kimball,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,31.8,,,27.9,35.8,3412,31105,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure,POINT (-103.7031528 41.1992736),2301
2021,NE,Nebraska,Sherman,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,10,,,8.3,12.0,2964,31163,DISABLT,COGNITION,CrdPrv,Cognitive Disability,POINT (-98.9728492 41.2187425),474
2021,NE,Nebraska,Cass,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Age-adjusted prevalence,39.1,,,33.2,45.1,27017,31025,HLTHOUT,OBESITY,AgeAdjPrv,Obesity,POINT (-96.1406086 40.9098778),2197
2021,NE,Nebraska,Wheeler,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,16.1,,,13.0,19.4,795,31183,RISKBEH,BINGE,CrdPrv,Binge Drinking,POINT (-98.5208533 41.9225747),478
2021,NE,Nebraska,Banner,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults aged >=18 years,%,Crude prevalence,74.5,,,69.2,79.3,692,31007,PREVENT,CHECKUP,CrdPrv,Annual Checkup,POINT (-103.7262626 41.5397495),2190
2020,NE,Nebraska,Cuming,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,81,,,78.2,83.5,8984,31039,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-96.7885168 41.9158651),452
2020,NE,Nebraska,Knox,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,67.3,,,63.1,71.2,8401,31107,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-97.8913492 42.6344045),2302
2021,NE,Nebraska,Cherry,BRFSS,Health Outcomes,Obesity among adults aged >=18 years,%,Crude prevalence,37.6,,,31.2,44.3,5458,31031,HLTHOUT,OBESITY,CrdPrv,Obesity,POINT (-101.0476532 42.571323),2241
2021,NE,Nebraska,Polk,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,12.5,,,10.3,15.0,5174,31143,HLTHSTAT,GHLTH,AgeAdjPrv,General Health,POINT (-97.5706627 41.1879253),2310
2021,NE,Nebraska,Dakota,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,6.4,,,5.3,7.6,21241,31043,HLTHOUT,COPD,CrdPrv,COPD,POINT (-96.561327 42.3916244),2244
2021,NE,Nebraska,Saline,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Age-adjusted prevalence,19.7,,,16.5,23.2,14192,31151,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking,POINT (-97.131755 40.5168024),472
2021,NE,Nebraska,Nance,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,11.2,,,9.6,13.0,3390,31125,HLTHSTAT,PHLTH,CrdPrv,Physical Health,POINT (-97.9914083 41.4023855),2304
2021,NE,Nebraska,Sarpy,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,27.7,,,25.3,30.4,193418,31153,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure,POINT (-96.1091254 41.1150635),2347
2021,NE,Nebraska,Gosper,BRFSS,Health Risk Behaviors,Current smoking among adults aged >=18 years,%,Age-adjusted prevalence,14.6,,,11.0,18.5,1824,31073,RISKBEH,CSMOKING,AgeAdjPrv,Current Smoking,POINT (-99.8232058 40.5090947),457
2020,NE,Nebraska,Dakota,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,11.6,,,7.9,15.9,21241,31043,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-96.561327 42.3916244),2244
2020,NE,Nebraska,Nuckolls,BRFSS,Health Outcomes,All teeth lost among adults aged >=65 years,%,Crude prevalence,9.7,,,6.2,14.0,4060,31129,HLTHOUT,TEETHLOST,CrdPrv,All Teeth Lost,POINT (-98.0468422 40.1764918),468
2020,NE,Nebraska,Merrick,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Crude prevalence,66.9,,,62.1,71.2,7665,31121,PREVENT,MAMMOUSE,CrdPrv,Mammography,POINT (-98.0310573 41.1697896),466
2020,NE,Nebraska,Douglas,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,45.4,,,39.3,51.3,585008,31055,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women,POINT (-96.1540664 41.2970908),2249
2021,NE,Nebraska,Kearney,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,27.5,,,23.6,31.5,6674,31099,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,POINT (-98.9476019 40.5091198),2298
2021,NE,Nebraska,Cheyenne,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Age-adjusted prevalence,11.1,,,9.4,13.1,9529,31033,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability,POINT (-103.0119289 41.2142358),2242
2021,NE,Nebraska,Boyd,BRFSS,Disability,Any disability among adults aged >=18 years,%,Crude prevalence,31,,,26.1,35.8,1789,31015,DISABLT,DISABILITY,CrdPrv,Any Disability,POINT (-98.7730221 42.8944477),2193
2020,NE,Nebraska,Cedar,BRFSS,Prevention,Cervical cancer screening among adult women aged 21-65 years,%,Crude prevalence,81.8,,,79.2,84.2,8330,31027,PREVENT,CERVICAL,CrdPrv,Cervical Cancer Screening,POINT (-97.2568696 42.6045604),2240
